id,path,name,latest_commit,files,loc,words,files_with_kw,files_with_keywords/global.json,files_with_keywords/nonlocal.json,files_with_keywords/import.json,files_with_keywords/from_import.json,files_with_keywords/globals.json,files_with_keywords/locals.json,files_with_keywords/inspect.json,files_with_keywords/builtins.json,loc_with_kw,loc_of_files_with_keywords/global.json,loc_of_files_with_keywords/nonlocal.json,loc_of_files_with_keywords/import.json,loc_of_files_with_keywords/from_import.json,loc_of_files_with_keywords/globals.json,loc_of_files_with_keywords/locals.json,loc_of_files_with_keywords/inspect.json,loc_of_files_with_keywords/builtins.json,words_with_kw,words_of_files_with_keywords/global.json,words_of_files_with_keywords/nonlocal.json,words_of_files_with_keywords/import.json,words_of_files_with_keywords/from_import.json,words_of_files_with_keywords/globals.json,words_of_files_with_keywords/locals.json,words_of_files_with_keywords/inspect.json,words_of_files_with_keywords/builtins.json,keywords/global.json,keywords/nonlocal.json,keywords/import.json,keywords/from_import.json,keywords/globals.json,keywords/locals.json,keywords/inspect.json,keywords/builtins.json
6443219,imp_projects4/0/6443219-0af2d7e438accd01a0d6d5763b7a3211dc246f00,simkovic/Chase,0af2d7e438accd01a0d6d5763b7a3211dc246f00,17,7070,42974,17,2,0,17,14,0,0,0,0,7070,1554,0,7070,6889,0,0,0,0,42974,9554,0,42974,41792,0,0,0,0,2,0,48,98,0,0,0,0
305534172,imp_projects4/0/305534172-3c4b183f032f925689d300670cad691572ea4bf0,juank-dev/holbertonschool-web_back_end,3c4b183f032f925689d300670cad691572ea4bf0,102,3345,10950,68,0,0,34,58,0,0,0,0,3123,0,0,1710,2984,0,0,0,0,10121,0,0,5495,9605,0,0,0,0,0,0,48,144,0,0,0,0
127101709,imp_projects4/0/127101709-aa0ca66c23ba379efaa869d68db5670cc388f2e5,ZZYuting/car-detection-using-retinanet,aa0ca66c23ba379efaa869d68db5670cc388f2e5,91,18103,72887,82,2,0,75,80,4,1,0,0,18007,1400,0,17207,17661,1346,167,0,0,72521,6443,0,69420,71048,4519,629,0,0,2,0,380,582,7,1,0,0
656818159,imp_projects4/0/656818159-ed5f7f66dcb04404c4f83895b69ba6096e3b6de5,michelre/detective-box-2-api,ed5f7f66dcb04404c4f83895b69ba6096e3b6de5,70,3040,9469,66,0,0,38,65,0,0,0,0,3033,0,0,1912,3008,0,0,0,0,9454,0,0,6428,9408,0,0,0,0,0,0,42,260,0,0,0,0
500871419,imp_projects4/0/500871419-581dee668b263e5bb74db99202acabf30ecebb85,tedomi2705/kernel_xiaomi_sdm660,581dee668b263e5bb74db99202acabf30ecebb85,41,11557,46570,40,15,0,38,27,0,0,0,0,11556,7719,0,11382,9223,0,0,0,0,46561,31475,0,46039,38006,0,0,0,0,57,0,106,60,0,0,0,0
429761617,imp_projects4/0/429761617-65609288d7fc9557ee5bff58a2f0e744c896b844,foorilla/django-admin-list-charts,65609288d7fc9557ee5bff58a2f0e744c896b844,4,99,319,3,0,0,2,3,0,0,0,0,87,0,0,82,87,0,0,0,0,277,0,0,267,277,0,0,0,0,0,0,2,5,0,0,0,0
39358518,imp_projects4/0/39358518-39276a867a9553e0399dd99a36905e3c48461e66,mitchfriedman/siphon-client,39276a867a9553e0399dd99a36905e3c48461e66,8,273,809,6,0,0,4,6,0,0,0,0,199,0,0,166,199,0,0,0,0,568,0,0,486,568,0,0,0,0,0,0,4,12,0,0,0,0
371602227,imp_projects4/0/371602227-f707235c1f9236a86da44b45a06f2e9d7d094ed4,JaideepPrasad/Data-Science,f707235c1f9236a86da44b45a06f2e9d7d094ed4,7,1018,4430,7,1,0,7,5,0,0,0,0,1018,184,0,1018,812,0,0,0,0,4430,524,0,4430,3104,0,0,0,0,4,0,21,21,0,0,0,0
16492604,imp_projects4/0/16492604-9eeea04363b1f96a66a427aa025de44614b0cd56,nicwest/website,9eeea04363b1f96a66a427aa025de44614b0cd56,14,537,2834,14,0,0,5,13,0,0,0,0,537,0,0,421,530,0,0,0,0,2834,0,0,2395,2816,0,0,0,0,0,0,6,26,0,0,0,0
182122378,imp_projects4/0/182122378-68c0396ebb26cfac9f83b96a1fa72016845675d5,Vyral/maria-dipoce-recruiting,68c0396ebb26cfac9f83b96a1fa72016845675d5,2,82,296,2,0,0,2,0,0,0,0,0,82,0,0,82,0,0,0,0,0,296,0,0,296,0,0,0,0,0,0,0,2,0,0,0,0,0
23230105,imp_projects4/0/23230105-edb9c5020c9876d0e5095ffc95e036ce2a638f37,OsandaMalith/Algorithms,edb9c5020c9876d0e5095ffc95e036ce2a638f37,1,123,549,1,0,0,1,1,0,0,0,0,123,0,0,123,123,0,0,0,0,549,0,0,549,549,0,0,0,0,0,0,1,1,0,0,0,0
121995607,imp_projects4/0/121995607-ddf2f23fd1140b7281eb1742cf390bba2e0d50c6,garrettDavis718/cti110,ddf2f23fd1140b7281eb1742cf390bba2e0d50c6,1,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198152891,imp_projects4/0/198152891-568f9ec942ed4f4365983f17d1d4b0f992250f3f,bkim724/master,568f9ec942ed4f4365983f17d1d4b0f992250f3f,1,258,980,1,1,0,1,1,0,0,0,0,258,258,0,258,258,0,0,0,0,980,980,0,980,980,0,0,0,0,3,0,2,1,0,0,0,0
610643972,imp_projects4/0/610643972-fb1f5832b721edcf5eeaaee98d66bb42633bf0b5,n57uctf/yetictf-2023-finals,fb1f5832b721edcf5eeaaee98d66bb42633bf0b5,177,10768,44405,152,0,0,57,140,0,0,0,0,10741,0,0,7559,10310,0,0,0,0,44369,0,0,34624,42691,0,0,0,0,0,0,154,349,0,0,0,0
105887056,imp_projects4/0/105887056-8518f4b10022ea2e9c15710bb693c68d298c67b7,mike84265/AIML,8518f4b10022ea2e9c15710bb693c68d298c67b7,99,28409,118519,93,34,0,93,63,14,0,0,0,28217,14911,0,28217,20012,5410,0,0,0,117524,59778,0,117524,84954,23713,0,0,0,120,0,355,198,20,0,0,0
429142370,imp_projects4/0/429142370-8c28dab0627f5fb70fb9260cb89d18620c4f305a,guelate/Cryptosyst-me_DH-Morse,8c28dab0627f5fb70fb9260cb89d18620c4f305a,2,263,535,2,1,0,2,0,0,0,0,0,263,225,0,263,0,0,0,0,0,535,453,0,535,0,0,0,0,0,9,0,5,0,0,0,0,0
322764981,imp_projects4/0/322764981-73991d3b6174a29261cd6b86bc5f1c16a8b13021,star-eyes/student_edit,73991d3b6174a29261cd6b86bc5f1c16a8b13021,3259,1229832,4892495,2960,160,9,2047,2583,77,52,3,12,1161538,127249,7573,988374,1061431,67822,35528,3684,13014,4409171,500985,30774,3737989,3953140,278458,133546,13730,53675,317,20,6926,15548,120,79,3,17
68907634,imp_projects4/0/68907634-eea28f64ad459e7a2be5606ed47617bdf78815fa,collective/plonefr,eea28f64ad459e7a2be5606ed47617bdf78815fa,13,959,2956,11,0,0,9,11,3,1,0,0,959,0,0,937,959,413,343,0,0,2956,0,0,2881,2956,1179,1007,0,0,0,0,39,23,3,1,0,0
599426596,imp_projects4/0/599426596-e867713a4d6e90573644b11595163e65b6b650ec,brout1987/pythonProject_temp_new,e867713a4d6e90573644b11595163e65b6b650ec,5,94,369,1,0,0,1,1,0,0,0,0,63,0,0,63,63,0,0,0,0,278,0,0,278,278,0,0,0,0,0,0,2,7,0,0,0,0
601662851,error,Mokinz/pytorch_fundamentals,a12df21741d56498193807f2a97ca6e5611cd196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65582259,imp_projects4/0/65582259-58caa79087ae1525526eed430be7e7d79c90a70b,bobmek/Rat-analysis-aoc,58caa79087ae1525526eed430be7e7d79c90a70b,1,127,616,1,0,0,1,1,0,0,0,0,127,0,0,127,127,0,0,0,0,616,0,0,616,616,0,0,0,0,0,0,5,1,0,0,0,0
601906241,imp_projects4/0/601906241-38385e8e4cf465dffe7e0db7f5e1246d171a9e08,chrishamblin7/circuit_explorer,38385e8e4cf465dffe7e0db7f5e1246d171a9e08,70,14498,59391,64,0,0,52,61,0,0,0,0,14495,0,0,14232,13979,0,0,0,0,59382,0,0,58221,57735,0,0,0,0,0,0,246,296,0,0,0,0
